|velocity[m/s], torque[Nm]|
0.060239350045285724,2837.892857142857
0.12047869164016922,2837.892857142857
0.18071800788385084,2837.892857142857
0.24095728187555224,2837.892857142857
0.3011964967145354,2837.892857142857
0.3614356355001216,2837.892857142857
0.42167468133171015,2837.892857142857
0.4819136173087979,2837.892857142857
0.5421524265309976,2837.892857142857
0.6023910920980573,2837.892857142857
0.6626295971098791,2837.892857142857
0.7228679246665382,2837.892857142857
0.7831060578683016,2837.892857142857
0.8433439798156476,2837.892857142857
0.9035816736092843,2837.892857142857
0.9638191223501689,2837.892857142857
1.0240563091395263,2837.892857142857
1.0842932170788682,2837.892857142857
1.1445298292700121,2837.892857142857
1.2047661288151008,2837.892857142857
1.2650020988166202,2837.892857142857
1.325237722377419,2837.892857142857
1.3854729826007277,2837.892857142857
1.4457078625901774,2837.892857142857
1.5059423454498186,2837.892857142857
1.5661764142841406,2837.892857142857
1.62641005219809,2837.892857142857
1.6866432422970896,2837.892857142857
1.7468759676870582,2837.892857142857
1.8071082114744283,2837.892857142857
1.867339956766166,2837.892857142857
1.9275711866697893,2837.892857142857
1.987801884293388,2837.892857142857
2.0480320327456414,2837.892857142857
2.108261615135838,2837.892857142857
2.1684906145738947,2837.892857142857
2.228719014170375,2837.892857142857
2.2889467970365085,2837.892857142857
2.349173946284209,2837.892857142857
2.4094004450260953,2837.892857142857
2.4696262763755077,2837.892857142857
2.5298514234465284,2837.892857142857
2.5900758693540005,2837.892857142857
2.6502995972135466,2837.892857142857
2.7105225901415877,2837.892857142857
2.7707448312553615,2837.892857142857
2.8309663036729433,2837.892857142857
2.8911869905132623,2837.892857142857
2.951406874896122,2837.892857142857
3.01162593994222,2837.892857142857
3.071844168773165,2837.892857142857
3.132061544511496,2837.892857142857
3.192278050280703,2837.892857142857
3.2524936692052444,2837.892857142857
3.3127083844105654,2837.892857142857
3.3729221790231185,2837.892857142857
3.4331350361703814,2837.892857142857
3.493346938980876,2837.892857142857
3.553557870584187,2837.892857142857
3.6137678141109824,2837.892857142857
3.67397675269303,2837.892857142857
3.7341846694632177,2837.892857142857
3.794391547555573,2837.892857142857
3.85459737010528,2837.892857142857
